modification_id,category_name,brand_name,part_name,price_inr,price_usd,hp_change_bhp,torque_change_nm,mileage_change_kmpl,weight_change_kg,material,is_universal
d8a54cf5d86546cfb5d0e9fe9393b86c,Exhaust Systems,Red Rooster Performance,RRP 650 Twin Stainless Exhaust System,18500.0,222.0,4.0,3.5,-0.9,-4.1,Stainless Steel 316L,0
d09a2ae3ae364492a86689ed46fb5f88,Exhaust Systems,Zard,Zard GT 650 Racing Full Titanium Exhaust,58000.0,696.0,6.8,5.5,-1.5,-5.5,Titanium Grade 9,0
b5feda108d6240a1b05e7ab323723fe4,Fuel Optimizers & Modules,FuelX,FuelX Pro Autotune Fuel Optimizer (RE 650),9990.0,120.0,1.5,1.2,2.0,0.0,PCB,0
886a0a2b213a483c8e26608884e8fcb3,Fuel Optimizers & Modules,FuelX,FuelX Pro Autotune for KTM Duke 390,8490.0,102.0,1.2,1.0,1.8,0.0,PCB,0
216f856488ec41f59f80f8c7d093d6b5,Headlights & Tail Lights,NightEye,NightEye 7-inch LED Projector Headlight Universal,4200.0,50.0,0.0,0.0,0.0,-0.4,Die-Cast Aluminium,1
7fc21159f72048f98ed04978a1df7c42,High Performance Brakes,EBC Brakes,EBC Double-H Sintered Brake Pads Universal,3600.0,43.0,0.0,0.0,0.0,0.0,Sintered Metal Compound,1
83e1616ca78c486f83bfecce51e27c1d,Performance Air Filters,DNA Filters,DNA Stage-2 Air Box & Filter (KTM Duke 390),9200.0,110.0,2.5,2.0,-0.3,-0.2,Cotton Gauze / ABS Airbox,0
340e4de2baaf48e3a94693c07751dfb1,Performance Air Filters,K&N Filters,K&N RE-0930 High-Flow Air Filter (RE 650 Twins),5490.0,66.0,1.2,1.0,0.8,0.0,Cotton Gauze / Aluminium Frame,0
4149003581974aa8a32ef2688c5a34e1,Performance Air Filters,K&N Filters,K&N YA-1517 High-Flow Air Filter (R15 V4),4200.0,50.0,1.0,0.8,0.5,0.0,Cotton Gauze,0
560d30674f0842f6ba6756c67521994d,Performance Tyres,Metzeler,Metzeler Roadtec 01 SE Tyre Set (RE 650),18500.0,222.0,0.0,0.0,-0.4,0.6,Silica Rubber Compound,0
2a946feac4ae430b9969976809e182c2,Performance Tyres,Michelin,Michelin Power 6 Sport Tyre Set (KTM Duke 390),14500.0,174.0,0.0,0.0,-0.3,0.4,Silica Compound,0
047d3b6a40704ebeb24574193af35f4a,Windshields & Aerodynamics,MotoTorque,MotoTorque Carbon Fibre Racing Visor (GT 650),7800.0,94.0,0.0,0.0,0.3,0.2,Carbon Fibre,0
bc47fe678aaf45288c1420f54bbc4db4,Windshields & Aerodynamics,Puig,Puig Dark Smoke Double Bubble Screen (KTM Duke 390),8500.0,102.0,0.0,0.0,0.4,0.3,Polycarbonate (4mm),0
33d4c188fb7b4a0083d9622285a5e7c9,Windshields & Aerodynamics,Puig,Puig R-Racer Screen (Yamaha R15 V4),7200.0,86.0,0.0,0.0,0.5,0.2,Polycarbonate,0
eae4c6b0e96040fa8b6b889f92355909,Windshields & Aerodynamics,Royal Enfield Official,RE Official GT 650 Touring Screen,4500.0,54.0,0.0,0.0,0.2,0.5,Polycarbonate (3mm),0
76ff5f329e4a4f478597bf148b617d1a,Windshields & Aerodynamics,Zana Motorcycles,Zana Himalayan 450 Tall Windscreen,3200.0,38.0,0.0,0.0,0.3,0.4,Polycarbonate (5mm),0
